,dut_speed,dut_decel,dut_dist,foe_speed,foe_dist
78,13.0,5.300000000000001,97.0,33.0,95.0
79,44.0,4.4,75.0,14.0,72.0
80,8.0,3.2,75.0,12.0,84.0
81,21.0,3.9,78.0,26.0,1.0
82,10.0,6.2,58.0,25.0,95.0
83,10.0,4.7,34.0,49.0,86.0
84,10.0,7.1000000000000005,45.0,28.0,37.0
85,47.0,6.0,14.0,22.0,84.0
86,30.0,9.5,23.0,11.0,24.0
87,27.0,6.9,65.0,45.0,43.0
88,15.0,3.3,27.0,22.0,61.0
89,40.0,4.1,21.0,33.0,44.0
90,49.0,3.8,64.0,14.0,61.0
91,10.0,7.7,83.0,50.0,80.0
92,21.0,4.3,55.0,46.0,77.0
93,32.0,5.6,2.0,19.0,98.0
94,22.0,8.3,42.0,41.0,76.0
95,50.0,6.6,30.0,12.0,41.0
96,20.0,7.3,33.0,16.0,65.0
97,7.0,8.3,19.0,46.0,85.0
98,40.0,7.9,45.0,12.0,98.0
99,8.0,3.1,7.0,19.0,18.0
100,36.0,8.0,9.0,45.0,84.0
101,27.0,5.0,63.0,37.0,65.0
102,47.0,4.1,70.0,15.0,59.0
103,20.0,9.7,62.0,49.0,59.0
104,42.0,7.1000000000000005,34.0,48.0,44.0
105,47.0,5.4,84.0,11.0,40.0
106,36.0,5.9,32.0,49.0,2.0
107,29.0,4.1,19.0,41.0,80.0
108,19.0,8.3,12.0,37.0,74.0
109,8.0,4.4,60.0,44.0,64.0
110,13.0,3.2,26.0,29.0,38.0
111,49.0,3.1,81.0,34.0,23.0
112,48.0,6.2,52.0,14.0,17.0
113,46.0,6.4,10.0,47.0,72.0
114,15.0,7.800000000000001,62.0,36.0,93.0
115,12.0,4.3,42.0,43.0,42.0
116,35.0,3.5,41.0,15.0,17.0
117,12.0,3.9,95.0,46.0,27.0
118,18.0,8.9,13.0,39.0,99.0
119,38.0,9.600000000000001,94.0,43.0,8.0
120,21.0,8.5,73.0,44.0,89.0
121,5.0,9.5,36.0,36.0,49.0
122,18.0,8.7,73.0,41.0,89.0
123,30.0,5.4,98.0,38.0,16.0
124,46.0,8.2,29.0,21.0,23.0
125,19.0,8.9,73.0,43.0,48.0
126,17.0,4.6,88.0,28.0,40.0
127,19.0,3.6,42.0,25.0,37.0
128,26.0,8.7,96.0,22.0,76.0
129,16.0,7.5,18.0,44.0,21.0
130,12.0,8.100000000000001,20.0,11.0,56.0
131,12.0,8.600000000000001,29.0,45.0,33.0
132,42.0,6.7,82.0,14.0,40.0
133,28.0,5.0,34.0,42.0,79.0
134,22.0,9.4,65.0,12.0,57.0
135,12.0,4.7,6.0,36.0,72.0
136,20.0,6.9,30.0,47.0,82.0
137,43.0,4.9,40.0,32.0,76.0
138,39.0,5.7,77.0,24.0,1.0
139,32.0,9.3,2.0,28.0,74.0
140,18.0,3.5,7.0,27.0,74.0
141,10.0,9.8,65.0,44.0,30.0
142,23.0,8.600000000000001,36.0,31.0,27.0
143,21.0,8.9,44.0,17.0,83.0
144,12.0,6.0,12.0,33.0,84.0
145,47.0,5.0,26.0,39.0,97.0
146,18.0,8.100000000000001,79.0,23.0,68.0
147,8.0,9.8,31.0,35.0,38.0
148,6.0,8.7,57.0,38.0,45.0
149,22.0,7.4,1.0,16.0,92.0
150,24.0,7.2,15.0,44.0,52.0
151,6.0,6.4,53.0,36.0,69.0
152,12.0,5.9,14.0,20.0,59.0
153,42.0,3.7,27.0,29.0,76.0
154,45.0,4.4,34.0,22.0,78.0
155,44.0,7.6000000000000005,26.0,22.0,56.0
156,16.0,9.7,87.0,31.0,19.0
157,7.0,9.9,95.0,37.0,11.0
158,29.0,3.1,91.0,25.0,46.0
159,33.0,5.2,10.0,21.0,4.0
160,36.0,6.4,71.0,24.0,18.0
161,18.0,7.1000000000000005,38.0,12.0,65.0
162,27.0,3.6,20.0,29.0,45.0
163,28.0,8.8,45.0,44.0,83.0
164,41.0,9.3,40.0,39.0,72.0
165,17.0,9.7,40.0,47.0,18.0
166,26.0,8.2,67.0,18.0,71.0
167,30.0,9.0,94.0,11.0,78.0
168,34.0,3.7,50.0,43.0,15.0
169,20.0,6.7,65.0,23.0,2.0
170,40.0,8.600000000000001,64.0,47.0,10.0
171,12.0,7.3,83.0,47.0,15.0
172,35.0,7.3,33.0,28.0,84.0
173,25.0,9.8,59.0,31.0,62.0
174,48.0,9.5,43.0,34.0,29.0
175,7.0,3.6,13.0,37.0,59.0
176,9.0,8.8,64.0,40.0,46.0
177,32.0,3.5,98.0,19.0,23.0
178,34.0,8.600000000000001,52.0,39.0,52.0
179,47.0,4.0,15.0,13.0,8.0
180,45.0,4.4,84.0,11.0,48.0
181,12.0,5.6,68.0,37.0,24.0
182,41.0,3.7,64.0,45.0,77.0
183,17.0,8.0,83.0,11.0,24.0
184,20.0,6.1,93.0,36.0,80.0
185,6.0,4.5,38.0,24.0,54.0
186,43.0,9.600000000000001,33.0,35.0,6.0
187,45.0,3.1,81.0,38.0,89.0
188,42.0,4.6,81.0,45.0,69.0
189,29.0,7.2,48.0,39.0,32.0
190,24.0,6.2,76.0,11.0,88.0
191,18.0,6.800000000000001,24.0,43.0,26.0
192,33.0,9.9,3.0,11.0,55.0
193,15.0,7.6000000000000005,3.0,38.0,8.0
194,14.0,3.8,93.0,17.0,5.0
195,33.0,3.4,73.0,32.0,79.0
196,6.0,5.2,0.0,45.0,38.0
197,48.0,9.0,42.0,26.0,4.0
198,45.0,8.8,20.0,42.0,68.0
199,47.0,6.4,25.0,49.0,10.0
200,40.0,4.2,14.0,39.0,62.0
201,27.0,6.4,50.0,11.0,23.0
202,6.0,4.2,52.0,48.0,99.0
203,49.0,5.800000000000001,35.0,12.0,59.0
204,35.0,9.8,39.0,14.0,90.0
205,13.0,8.100000000000001,8.0,18.0,77.0
206,6.0,8.8,25.0,13.0,67.0
207,31.0,8.4,23.0,23.0,76.0
208,49.0,6.0,60.0,19.0,95.0
209,25.0,9.4,34.0,20.0,45.0
210,18.0,6.300000000000001,18.0,21.0,69.0
211,13.0,7.4,54.0,20.0,11.0
212,28.0,3.5,40.0,27.0,96.0
213,28.0,4.4,54.0,15.0,77.0
214,27.0,5.5,47.0,24.0,94.0
215,28.0,7.1000000000000005,27.0,33.0,17.0
216,39.0,9.8,37.0,39.0,58.0
217,40.0,5.7,38.0,38.0,65.0
218,46.0,3.7,72.0,43.0,57.0
219,26.0,4.3,26.0,23.0,45.0
220,22.0,3.9,59.0,41.0,29.0
221,30.0,7.0,77.0,17.0,94.0
222,29.0,7.800000000000001,63.0,35.0,34.0
223,13.0,3.9,29.0,13.0,31.0
224,27.0,9.5,89.0,33.0,97.0
225,10.0,5.4,4.0,13.0,19.0
226,9.0,3.7,79.0,10.0,94.0
227,48.0,9.7,38.0,20.0,90.0
228,15.0,5.5,89.0,23.0,13.0
229,23.0,9.600000000000001,17.0,16.0,35.0
230,43.0,3.5,42.0,18.0,28.0
231,17.0,5.0,93.0,19.0,40.0
232,35.0,6.1,90.0,32.0,41.0
233,31.0,3.7,83.0,20.0,68.0
234,25.0,3.4,82.0,22.0,15.0
235,25.0,8.8,76.0,10.0,85.0
236,26.0,8.100000000000001,45.0,32.0,37.0
237,22.0,9.8,74.0,34.0,57.0
238,40.0,8.600000000000001,96.0,26.0,86.0
239,45.0,5.800000000000001,59.0,15.0,72.0
240,15.0,9.5,81.0,44.0,28.0
241,43.0,7.7,38.0,29.0,37.0
242,20.0,9.600000000000001,83.0,48.0,19.0
243,30.0,3.7,84.0,30.0,17.0
244,31.0,6.9,66.0,43.0,78.0
245,31.0,4.1,15.0,39.0,36.0
246,34.0,3.4,23.0,17.0,73.0
247,7.0,10.0,91.0,36.0,6.0
248,48.0,9.2,18.0,33.0,42.0
249,8.0,8.9,61.0,14.0,56.0
250,12.0,4.3,78.0,29.0,86.0
251,26.0,9.100000000000001,92.0,38.0,14.0
252,21.0,5.300000000000001,30.0,31.0,2.0
253,48.0,9.600000000000001,73.0,13.0,83.0
254,40.0,3.7,84.0,16.0,89.0
255,21.0,4.3,73.0,36.0,35.0
256,49.0,5.9,59.0,22.0,8.0
257,37.0,6.2,62.0,48.0,11.0
258,9.0,6.0,52.0,31.0,90.0
259,20.0,5.800000000000001,87.0,26.0,90.0
260,11.0,4.2,41.0,39.0,52.0
261,42.0,5.7,69.0,48.0,97.0
262,22.0,3.5,89.0,26.0,60.0
263,22.0,4.7,69.0,19.0,3.0
264,43.0,3.1,55.0,48.0,21.0
265,27.0,8.7,22.0,11.0,28.0
266,36.0,8.9,86.0,35.0,28.0
267,42.0,9.100000000000001,43.0,27.0,32.0
268,13.0,9.4,85.0,37.0,15.0
269,23.0,4.6,1.0,12.0,57.0
270,25.0,5.800000000000001,19.0,24.0,46.0
271,43.0,4.0,59.0,33.0,41.0
272,16.0,3.1,41.0,29.0,55.0
273,39.0,6.7,72.0,43.0,97.0
274,37.0,3.0,21.0,12.0,61.0
275,35.0,7.7,26.0,20.0,89.0
276,23.0,9.5,59.0,12.0,66.0
277,34.0,3.7,17.0,33.0,44.0
278,41.0,5.4,38.0,40.0,62.0
279,25.0,3.6,89.0,47.0,8.0
280,22.0,4.9,46.0,41.0,38.0
281,7.0,7.5,55.0,14.0,72.0
282,6.0,9.100000000000001,18.0,14.0,47.0
283,48.0,8.7,47.0,28.0,57.0
284,32.0,3.8,54.0,47.0,45.0
285,28.0,3.5,26.0,38.0,62.0
286,14.0,5.1,91.0,13.0,38.0
287,36.0,6.1,53.0,17.0,40.0
288,36.0,8.3,86.0,20.0,20.0
289,19.0,8.3,60.0,27.0,79.0
290,31.0,7.1000000000000005,89.0,18.0,21.0
291,48.0,3.6,70.0,36.0,32.0
292,32.0,7.1000000000000005,58.0,43.0,62.0
293,30.0,4.4,84.0,43.0,25.0
294,49.0,6.7,3.0,39.0,95.0
295,44.0,3.4,91.0,25.0,6.0
296,22.0,5.800000000000001,19.0,25.0,83.0
297,33.0,5.1,65.0,13.0,41.0
298,39.0,9.100000000000001,78.0,10.0,29.0
299,12.0,6.1,45.0,40.0,20.0
300,43.0,9.0,44.0,37.0,73.0
301,49.0,4.4,28.0,38.0,1.0
302,49.0,4.2,22.0,31.0,92.0
303,50.0,6.7,4.0,27.0,14.0
304,25.0,7.7,79.0,13.0,19.0
305,18.0,3.6,5.0,11.0,7.0
306,44.0,7.5,42.0,28.0,47.0
307,38.0,6.9,21.0,18.0,2.0
308,45.0,7.5,10.0,40.0,52.0
309,11.0,5.5,61.0,14.0,88.0
310,48.0,9.3,27.0,19.0,8.0
311,25.0,3.3,72.0,20.0,6.0
312,29.0,4.1,88.0,22.0,1.0
313,14.0,8.4,2.0,48.0,4.0
314,37.0,3.7,45.0,36.0,30.0
315,12.0,3.9,92.0,23.0,72.0
316,27.0,7.7,74.0,45.0,59.0
317,15.0,6.0,74.0,13.0,23.0
318,19.0,3.2,12.0,28.0,70.0
319,38.0,6.0,41.0,37.0,42.0
320,16.0,8.0,55.0,48.0,81.0
321,26.0,5.5,24.0,36.0,47.0
322,7.0,7.0,83.0,21.0,10.0
323,7.0,7.6000000000000005,51.0,19.0,87.0
324,11.0,9.8,95.0,32.0,49.0
325,22.0,6.1,84.0,44.0,57.0
326,45.0,8.5,89.0,17.0,32.0
327,35.0,6.1,34.0,40.0,45.0
328,24.0,3.6,55.0,48.0,72.0
329,44.0,4.4,91.0,32.0,1.0
330,25.0,9.5,87.0,25.0,90.0
331,36.0,6.9,86.0,35.0,33.0
332,16.0,4.4,95.0,26.0,66.0
333,25.0,7.5,33.0,28.0,91.0
334,34.0,9.0,34.0,19.0,19.0
335,32.0,5.5,56.0,36.0,58.0
336,45.0,6.7,48.0,29.0,25.0
337,49.0,5.6,72.0,21.0,22.0
338,9.0,7.1000000000000005,4.0,45.0,66.0
339,27.0,5.0,37.0,46.0,38.0
340,46.0,8.8,25.0,46.0,74.0
341,46.0,8.0,66.0,48.0,76.0
342,38.0,7.5,24.0,25.0,2.0
343,41.0,5.300000000000001,93.0,17.0,23.0
344,29.0,3.9,69.0,35.0,80.0
345,29.0,3.2,38.0,25.0,83.0
346,46.0,6.9,81.0,17.0,80.0
347,48.0,8.7,30.0,38.0,92.0
348,9.0,9.4,93.0,13.0,91.0
349,24.0,5.6,97.0,39.0,91.0
350,11.0,3.7,2.0,18.0,23.0
351,32.0,3.7,96.0,26.0,20.0
352,34.0,4.9,84.0,39.0,35.0
353,8.0,8.9,38.0,45.0,54.0
354,11.0,5.5,27.0,24.0,100.0
355,6.0,5.7,46.0,16.0,48.0
356,30.0,5.800000000000001,19.0,26.0,23.0
357,44.0,6.4,32.0,50.0,61.0
358,34.0,8.100000000000001,38.0,45.0,22.0
359,15.0,3.9,45.0,34.0,68.0
360,10.0,4.0,3.0,48.0,28.0
361,34.0,8.4,51.0,18.0,60.0
362,16.0,7.2,28.0,33.0,17.0
363,47.0,6.9,42.0,39.0,33.0
364,17.0,3.3,13.0,11.0,36.0
365,19.0,8.5,39.0,27.0,93.0
366,42.0,6.1,3.0,44.0,60.0
367,19.0,8.7,44.0,33.0,46.0
368,6.0,7.3,80.0,39.0,14.0
369,14.0,3.3,39.0,48.0,98.0
370,6.0,9.4,51.0,48.0,31.0
371,46.0,7.5,99.0,16.0,46.0
372,7.0,3.1,38.0,33.0,36.0
373,48.0,9.600000000000001,42.0,12.0,58.0
374,45.0,9.3,78.0,20.0,63.0
375,47.0,4.6,5.0,46.0,56.0
376,14.0,6.5,77.0,36.0,79.0
377,31.0,5.9,90.0,35.0,1.0
378,25.0,8.5,63.0,15.0,65.0
379,22.0,6.0,25.0,27.0,93.0
380,13.0,5.1,59.0,36.0,96.0
381,14.0,9.2,13.0,42.0,1.0
382,16.0,10.0,93.0,39.0,53.0
383,12.0,7.800000000000001,40.0,26.0,78.0
384,29.0,9.9,2.0,37.0,82.0
385,31.0,4.5,0.0,36.0,37.0
386,21.0,4.0,3.0,48.0,95.0
387,27.0,7.5,98.0,27.0,5.0
388,32.0,9.9,40.0,22.0,97.0
389,23.0,7.800000000000001,77.0,26.0,24.0
390,14.0,5.300000000000001,26.0,21.0,78.0
391,22.0,7.3,95.0,12.0,73.0
392,32.0,9.2,43.0,31.0,76.0
393,29.0,6.7,88.0,13.0,76.0
394,44.0,4.3,76.0,36.0,37.0
395,49.0,5.800000000000001,32.0,25.0,6.0
396,12.0,6.2,48.0,15.0,28.0
397,35.0,6.1,2.0,24.0,50.0
398,8.0,7.9,33.0,34.0,30.0
399,16.0,8.8,18.0,49.0,27.0
400,20.0,6.300000000000001,58.0,37.0,20.0
401,38.0,3.8,31.0,36.0,1.0
402,43.0,7.4,62.0,11.0,68.0
403,6.0,4.7,58.0,43.0,34.0
404,9.0,8.0,48.0,10.0,35.0
405,34.0,4.2,79.0,22.0,16.0
406,41.0,8.2,61.0,30.0,76.0
407,42.0,8.8,34.0,30.0,86.0
408,42.0,9.100000000000001,8.0,13.0,4.0
409,45.0,9.2,68.0,25.0,62.0
410,21.0,6.0,30.0,33.0,36.0
411,27.0,4.8,67.0,30.0,78.0
412,49.0,5.6,20.0,46.0,90.0
413,31.0,3.6,49.0,20.0,82.0
414,31.0,4.3,55.0,28.0,86.0
415,21.0,4.5,54.0,47.0,83.0
416,29.0,9.7,96.0,18.0,64.0
417,47.0,8.2,21.0,19.0,20.0
418,35.0,5.7,23.0,49.0,83.0
419,38.0,6.300000000000001,91.0,49.0,42.0
420,24.0,9.100000000000001,17.0,28.0,45.0
421,7.0,8.100000000000001,45.0,47.0,87.0
422,20.0,3.3,32.0,22.0,52.0
423,45.0,8.100000000000001,96.0,42.0,79.0
424,15.0,5.6,94.0,32.0,61.0
425,30.0,5.6,100.0,48.0,6.0
426,12.0,5.0,53.0,23.0,56.0
427,46.0,9.5,73.0,19.0,78.0
428,27.0,6.6,43.0,23.0,77.0
429,42.0,9.3,46.0,31.0,2.0
430,44.0,8.4,10.0,39.0,69.0
431,22.0,9.100000000000001,91.0,46.0,26.0
432,18.0,9.600000000000001,21.0,26.0,7.0
433,16.0,6.2,95.0,19.0,26.0
434,41.0,7.5,95.0,41.0,74.0
435,20.0,8.4,25.0,16.0,18.0
436,21.0,4.9,4.0,23.0,30.0
437,33.0,3.3,38.0,33.0,66.0
438,11.0,7.7,74.0,13.0,15.0
439,8.0,3.7,52.0,23.0,34.0
440,41.0,7.3,64.0,33.0,25.0
441,46.0,8.7,63.0,20.0,40.0
442,16.0,9.5,75.0,14.0,24.0
443,42.0,8.4,62.0,46.0,83.0
444,45.0,6.300000000000001,68.0,27.0,91.0
445,18.0,3.9,46.0,44.0,71.0
446,27.0,4.2,13.0,35.0,88.0
447,6.0,6.0,11.0,20.0,70.0
448,25.0,6.4,35.0,22.0,87.0
449,16.0,8.7,11.0,16.0,24.0
450,35.0,8.9,79.0,46.0,75.0
451,14.0,9.2,16.0,48.0,35.0
452,25.0,5.6,50.0,13.0,66.0
453,24.0,5.2,3.0,42.0,60.0
454,44.0,9.3,92.0,50.0,30.0
455,19.0,4.1,9.0,30.0,28.0
456,41.0,4.0,70.0,13.0,9.0
457,39.0,8.3,85.0,12.0,59.0
458,36.0,4.8,20.0,20.0,58.0
459,48.0,8.0,58.0,45.0,5.0
460,10.0,6.1,53.0,22.0,29.0
461,15.0,3.5,91.0,23.0,47.0
462,19.0,3.4,16.0,34.0,50.0
463,20.0,9.2,24.0,15.0,68.0
464,49.0,8.9,20.0,30.0,60.0
465,37.0,3.7,45.0,49.0,96.0
466,38.0,3.8,48.0,12.0,75.0
467,30.0,5.2,43.0,16.0,20.0
468,34.0,3.1,79.0,46.0,3.0
469,24.0,6.7,99.0,44.0,76.0
470,37.0,7.0,18.0,19.0,53.0
471,34.0,8.0,83.0,19.0,45.0
472,32.0,3.3,13.0,47.0,49.0
473,25.0,8.7,64.0,18.0,29.0
474,11.0,3.1,65.0,34.0,4.0
475,36.0,9.600000000000001,30.0,42.0,82.0
476,32.0,4.0,84.0,19.0,82.0
477,31.0,9.4,2.0,48.0,48.0
478,8.0,9.2,40.0,26.0,17.0
479,26.0,7.4,98.0,39.0,93.0
480,41.0,8.600000000000001,37.0,18.0,15.0
481,14.0,6.9,46.0,13.0,88.0
482,34.0,7.5,30.0,38.0,13.0
483,38.0,7.6000000000000005,28.0,23.0,8.0
484,26.0,9.8,44.0,34.0,16.0
485,8.0,3.6,14.0,19.0,7.0
486,25.0,7.1000000000000005,33.0,10.0,24.0
487,7.0,3.4,34.0,38.0,9.0
488,47.0,5.0,4.0,26.0,79.0
489,40.0,3.3,71.0,23.0,71.0
490,30.0,9.5,76.0,10.0,15.0
491,42.0,4.6,79.0,29.0,40.0
492,25.0,3.8,93.0,21.0,1.0
493,14.0,8.0,47.0,47.0,94.0
494,37.0,6.1,65.0,48.0,75.0
495,16.0,9.9,61.0,21.0,99.0
496,21.0,3.1,93.0,50.0,48.0
497,45.0,8.3,98.0,18.0,43.0
498,13.0,3.2,6.0,42.0,73.0
499,32.0,4.8,46.0,34.0,19.0
500,30.0,8.5,76.0,48.0,52.0
501,14.0,5.9,8.0,12.0,53.0
502,21.0,7.3,30.0,28.0,3.0
503,15.0,4.2,14.0,46.0,74.0
504,42.0,6.4,34.0,49.0,89.0
505,50.0,3.6,69.0,33.0,47.0
506,47.0,8.5,78.0,11.0,8.0
507,18.0,8.9,12.0,44.0,34.0
508,34.0,6.0,93.0,30.0,67.0
509,8.0,6.1,13.0,48.0,96.0
510,41.0,7.800000000000001,81.0,49.0,64.0
511,14.0,4.1,32.0,47.0,3.0
512,28.0,5.0,90.0,39.0,94.0
513,12.0,4.9,59.0,42.0,96.0
514,21.0,5.800000000000001,35.0,28.0,28.0
515,9.0,4.0,97.0,19.0,22.0
516,7.0,4.0,53.0,24.0,87.0
517,42.0,5.6,1.0,28.0,43.0
518,37.0,8.5,57.0,41.0,36.0
519,12.0,7.2,91.0,28.0,15.0
520,12.0,6.800000000000001,92.0,17.0,60.0
521,29.0,8.3,71.0,38.0,37.0
522,35.0,6.5,31.0,39.0,76.0
523,13.0,5.7,12.0,49.0,80.0
524,45.0,8.2,13.0,17.0,74.0
525,23.0,4.8,82.0,23.0,47.0
526,35.0,9.100000000000001,30.0,22.0,62.0
527,34.0,7.9,84.0,38.0,83.0
528,11.0,7.9,40.0,10.0,8.0
529,36.0,9.9,83.0,40.0,63.0
530,15.0,3.4,24.0,20.0,66.0
531,21.0,6.4,90.0,33.0,37.0
532,9.0,4.3,48.0,13.0,85.0
533,47.0,4.5,75.0,49.0,28.0
534,7.0,4.8,59.0,12.0,90.0
535,26.0,4.5,23.0,31.0,51.0
536,32.0,4.3,79.0,19.0,94.0
537,37.0,6.800000000000001,26.0,21.0,72.0
538,28.0,9.8,76.0,13.0,66.0
539,38.0,4.0,32.0,11.0,38.0
540,33.0,5.6,96.0,37.0,28.0
541,29.0,3.9,24.0,50.0,1.0
542,27.0,7.2,14.0,13.0,23.0
543,27.0,8.9,88.0,20.0,81.0
544,46.0,10.0,91.0,23.0,83.0
545,21.0,5.1,36.0,11.0,33.0
546,22.0,3.3,50.0,19.0,92.0
547,21.0,8.600000000000001,30.0,24.0,78.0
548,44.0,5.7,36.0,35.0,87.0
549,38.0,7.5,91.0,13.0,45.0
550,22.0,4.8,2.0,23.0,46.0
551,49.0,4.6,83.0,34.0,2.0
552,19.0,4.7,67.0,17.0,90.0
553,19.0,8.4,56.0,16.0,86.0
554,44.0,3.0,67.0,49.0,80.0
555,25.0,7.0,4.0,49.0,89.0
556,23.0,6.7,61.0,28.0,48.0
557,49.0,7.0,27.0,23.0,93.0
558,15.0,4.3,36.0,21.0,88.0
559,42.0,6.4,73.0,24.0,37.0
560,39.0,8.4,7.0,26.0,84.0
561,23.0,4.7,27.0,32.0,17.0
562,36.0,9.8,94.0,36.0,16.0
563,26.0,9.8,82.0,15.0,79.0
564,31.0,3.5,76.0,20.0,17.0
565,31.0,3.6,10.0,35.0,73.0
566,33.0,4.0,92.0,11.0,64.0
567,24.0,8.4,8.0,37.0,25.0
568,34.0,9.0,15.0,22.0,89.0
569,9.0,8.5,47.0,18.0,76.0
570,31.0,5.4,46.0,36.0,72.0
571,29.0,3.8,64.0,30.0,84.0
572,26.0,6.300000000000001,80.0,19.0,71.0
573,6.0,9.7,13.0,16.0,52.0
574,24.0,7.1000000000000005,60.0,27.0,3.0
575,12.0,8.8,29.0,26.0,98.0
576,44.0,3.3,35.0,24.0,96.0
577,29.0,9.0,50.0,11.0,86.0
578,37.0,4.6,66.0,10.0,13.0
579,24.0,7.7,9.0,25.0,88.0
580,18.0,9.0,29.0,36.0,8.0
581,12.0,8.3,69.0,42.0,41.0
582,16.0,8.4,22.0,49.0,25.0
583,39.0,5.5,10.0,20.0,99.0
584,14.0,4.4,99.0,19.0,74.0
585,19.0,5.300000000000001,44.0,47.0,64.0
586,39.0,7.5,58.0,43.0,63.0
587,35.0,8.2,5.0,17.0,95.0
588,48.0,6.2,82.0,31.0,87.0
589,30.0,4.7,17.0,21.0,43.0
590,19.0,4.7,50.0,27.0,15.0
591,31.0,5.0,51.0,36.0,15.0
592,18.0,3.4,61.0,43.0,46.0
593,13.0,3.2,36.0,41.0,16.0
594,8.0,4.6,45.0,33.0,83.0
595,37.0,8.7,53.0,50.0,43.0
596,8.0,4.9,22.0,10.0,56.0
597,13.0,8.600000000000001,3.0,36.0,1.0
598,42.0,3.3,34.0,16.0,50.0
599,39.0,4.1,8.0,29.0,20.0
600,41.0,5.2,19.0,34.0,81.0
601,23.0,4.8,72.0,28.0,82.0
602,17.0,9.100000000000001,38.0,33.0,77.0
603,5.0,6.0,69.0,46.0,13.0
604,15.0,4.1,81.0,11.0,8.0
605,25.0,7.7,48.0,34.0,63.0
606,49.0,7.1000000000000005,78.0,45.0,56.0
607,46.0,4.1,69.0,15.0,6.0
608,20.0,7.0,15.0,36.0,46.0
609,14.0,9.4,25.0,35.0,68.0
610,43.0,3.2,63.0,24.0,21.0
611,13.0,7.4,43.0,40.0,87.0
612,15.0,6.7,71.0,12.0,85.0
613,49.0,8.2,33.0,25.0,48.0
614,43.0,7.0,50.0,15.0,53.0
615,24.0,5.9,71.0,49.0,1.0
616,8.0,8.3,10.0,42.0,80.0
